K	T	pH 	buffer 	buffer_concn	Mg	Ic
9.81	293.15	6.22	imidazole	0.0333	0	0.065
11.28	293.15	7.24	Tris	0.0333	0	0.065
11.74	293.15	8.06	Tris	0.0333	0	0.065
8.65	303.15	5.42	maleate	0.0333	0	0.065
10.02	303.15	6.2	imidazole	0.0333	0	0.065
10.5	303.15	6.45	imidazole	0.0333	0	0.065
10.72	303.15	6.66	Tris	0.0333	0	0.065
10.06	303.15	6.97	Tris	0.0333	0	0.3
10.43	303.15	7.01	Tris	0.0333	0	0.3
11.4	303.15	7.1	Tris	0.0333	0	0.065
11.31	303.15	7.4	Tris	0.0167	0.0333	0.032
11.36	303.15	7.4	Tris	0.0167	0.0333	0.038
11.3	303.15	7.4	Tris	0.0167	0.0453	0.046
11.64	303.15	7.4	Tris	0.0167	0.0453	0.059
11.11	303.15	7.4	Tris	0.0167	0.0453	0.085
10.45	303.15	7.45	Tris	0.0333	0	0.3
11.59	303.15	7.5	Tris	0.0333	0	0.065
10.84	303.15	7.55	Tris	0.0333	0	0.3
11.14	303.15	7.8	Tris	0.0333	0	0.3
11.65	303.15	7.89	Tris	0.0333	0	0.065
11.1	303.15	7.89	Tris	0.0333	0	0.3
11.1	303.15	7.89	Tris	0.0333	0	0.3
11.47	303.15	8.12	Tris	0.0333	0	0.3
