Strain	Plasmid	Temp	Medium	Rate			
MV10	No	37	LB	0.0182			
MV10	No	37	LB	0.0183			
MV10	No	37	LB	0.0180			
MV10	RK2	37	LB	0.0284			
MV10	RK2	37	LB	0.0263			
MV10	RK2	37	LB	0.0270			
MV10	R387	37	LB	0.0271			
MV10	R387	37	LB	0.0266			
MV10	R387	37	LB	0.0268			
MV10	No	30	LB	0.0170			
MV10	No	30	LB	0.0170			
MV10	No	30	LB	0.0176			
MV10	RK2	30	LB	0.0134			
MV10	RK2	30	LB	0.0129			
MV10	RK2	30	LB	0.0126			
MV10	R387	30	LB	0.0166			
MV10	R387	30	LB	0.0164			
MV10	R387	30	LB	0.0164			
MV10	No	37	M9	0.0131			
MV10	No	37	M9	0.0128			
MV10	No	37	M9	0.0126			
MV10	RK2	37	M9	0.0123			
MV10	RK2	37	M9	0.0123			
MV10	RK2	37	M9	0.0121			
MV10	R387	37	M9	0.0149			
MV10	R387	37	M9	0.0145			
MV10	R387	37	M9	0.0139			
DH5a	No	37	LB	0.0168			
DH5a	No	37	LB	0.0169			
DH5a	No	37	LB	0.0167			
DH5a	No	30	LB	0.0093			
DH5a	No	30	LB	0.0086			
DH5a	No	30	LB	0.0089			
DH5a	RK2	37	LB	0.0176			
DH5a	RK2	37	LB	0.0164			
DH5a	RK2	37	LB	0.0194			
DH5a	RK2	30	LB	0.0102			
DH5a	RK2	30	LB	0.0110			
DH5a	RK2	30	LB	0.0110			
PAO1161	No	37	LB	0.0173			
PAO1161	No	37	LB	0.0175			
PAO1161	No	37	LB	0.0170			
PAO1161	No	30	LB	0.0118			
PAO1161	No	30	LB	0.0113			
PAO1161	No	30	LB	0.0105			
PAO1161	RK2	37	LB	0.0239			
PAO1161	RK2	37	LB	0.0238			
PAO1161	RK2	37	LB	0.0251			
PAO1161	RK2	30	LB	0.0174			
PAO1161	RK2	30	LB	0.0176			
PAO1161	RK2	30	LB	0.0183			
KT2440	No	37	LB	0.0184			
KT2440	No	37	LB	0.0196			
KT2440	No	37	LB	0.0202			
